STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,currency,Currency,prod_veg,Vegetable product,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2013,,25.63,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2014,,12.25,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2015,,18.85,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2016,,14.83,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2017,,22.35,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2018,,20.68,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2019,,25.55,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2020,,13.64,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2021,,17.74,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2022,,25.77,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2023,,42.92,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,AT,Austria,2024,,34.72,,,,,
dataflow,ESTAT:TAG00063(1.0),Selling prices of main crop potatoes,A,Annual,EUR,Euro,05120000,Main crop potatoes - prices per 100 kg,BE,Belgium,2013,,14.79,,,,,
